S1-E01 ,Great leaders inspire greatness in others.
S1-E02 ,"Belief is not a matter of choice, but of conviction."
S1-E03 ,Easy is the path to wisdom for those not blinded by ego.
S1-E04 ,A plan is only as good as those who see it through.
S1-E05 ,The best confidence builder is experience.
S1-E06 ,"Trust in your friends, and they’ll have reason to trust in you."
S1-E07 ,You hold onto friends by keeping your heart a little softer than your head.
S1-E08 ,Heroes are made by the times.
S1-E09 ,Ignore your instincts at your peril.
S1-E10 ,Most powerful is he who controls his own power.
S1-E11 ,"The winding path to peace is always a worthy one, regardless of how many turns it takes."
S1-E12 ,Fail with honor rather than succeed by fraud.
S1-E13 ,Greed and fear of loss are the roots that lead to the tree of evil.
S1-E14 ,"When surrounded by war, one must eventually choose a side."
S1-E15 ,Arrogance diminishes wisdom.
S1-E16 ,"Truth enlightens the mind, but won’t always bring happiness to your heart."
S1-E17 ,Fear is a disease; hope is its only cure.
S1-E18 ,A single chance is a galaxy of hope.
S1-E19 ,It is a rough road that leads to the heights of greatness.
S1-E20 ,The costs of war can never be truly accounted for.
S1-E21 ,"Compromise is a virtue to be cultivated, not a weakness to be despised."
S1-E22 ,A secret shared is a trust formed.
S2-E01 ,A lesson learned is a lesson earned.
S2-E02 ,Overconfidence is the most dangerous form of carelessness.
S2-E03 ,The first step to correcting a mistake is patience.
S2-E04 ,A true heart should never be doubted.
S2-E05 ,Believe in yourself or no one else will.
S2-E06 ,No gift is more precious than trust.
S2-E07 ,"Sometimes, accepting help is harder than offering it."
S2-E08 ,Attachment is not compassion.
S2-E09 ,"For everything you gain, you lose something else."
S2-E10 ,It is the quest for honor that makes one honorable.
S2-E11 ,Easy isn’t always simple.
S2-E12 ,"If you ignore the past, you jeopardize the future."
S2-E13 ,"Fear not for the future, weep not for the past."
S2-E14 ,"In war, truth is the first casualty."
S2-E15 ,Searching for the truth is easy. Accepting the truth is hard.
S2-E16 ,A wise leader knows when to follow.
S2-E17 ,"Courage makes heroes, but trust builds friendships."
S2-E18 ,"Choose what is right, not what is easy."
S2-E19 ,The most dangerous beast is the beast within.
S2-E20 ,Who my father was matters less than my memory of him.
S2-E21 ,Adversity is a friendship’s truest test.
S2-E22 ,Revenge is a confession of pain.
S3-E01 ,Brothers in arms are brothers for life.
S3-E02 ,"Fighting a war tests a soldier’s skills, defending his home tests a soldier’s heart."
S3-E03 ,"Where there’s a will, there’s a way."
S3-E04 ,A child stolen is a hope lost.
